date_time,city_area,state,country,ufo_shape,encounter_length,described_encounter_length,description,date_documented,latitude,longitude,month,day,year,time
5/13/2001 22:00,dubbo (australia),,au,flare,600,10mins,it was the scariest thing i&#39d ever seen.,8/5/2001,-32.24295,148.604843,5,13,2001,22:00
5/13/2001 23:15,bangalore (india),,in,other/unspecified,5,5 secs,Sighting over Bangalore&#44 India,8/5/2001,12.971599,77.594563,5,13,2001,23:15
5/14/2002,kaduruwela (sri lanka),,lk,triangle,40,40 seconds,Upul saw this triangle shaped object with a sound of bee buzzing.,6/12/2002,7.930835,81.045104,5,14,2002,0:00
5/13/2003 0:50,bjaeverskov (dk 4632) (denmark),,dk,light,300,0&#445 min.,Very sharp light fading out an disappeared in about 5 to 10 sec.,5/13/2003,55.457699,12.033552,5,13,2003,0:50
5/13/2003 2:15,kitchener (canada),on,ca,formation,9,approx. 09 sec&#44,we were at Bingemans Conservation Area and I looed up and thought I saw a shooting star. When my wife turned to look up&#44 two more spit,5/27/2003,43.45,-80.5,5,13,2003,2:15
5/13/2003 20:15,georgetown (canada),on,ca,round,300,5 min,round quiet rotating and very low flying then sped off in an instant.,5/27/2003,46.183333,-62.533333,5,13,2003,20:15
5/13/2003 23:35,terrace (canada),bc,ca,other/unspecified,10,10 seconds,HBCCUFO CANADIAN REPORT:  Ring of colored lights with dark round object in the center.,5/27/2003,54.5,-128.583333,5,13,2003,23:35
5/13/2004 4:00,melbourne (vic&#44 australia),,au,disk,900,15 mins,disc type object sighted along the coast of melbourne&#44 AU south eastern area. 4 object&#44 similar size&#44 moving at a slow pace but quick.,6/4/2004,-37.813938,144.963425,5,13,2004,4:00
5/13/2004 23:15,prince george (canada),bc,ca,other/unspecified,240,4 minutes,HBCCUFO CANADIAN REPORT:  Objects cross paths.,6/4/2004,53.916667,-122.766667,5,13,2004,23:15
5/13/2006 0:00,london (uk/england),,gb,light,20,20 seconds,massive bright light&#44 low in the sky,7/16/2006,51.514125,-0.093689,5,13,2006,0:00
